Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-10 00:00:00-04:00,36.22211958999382,38.52119275421341,35.659082871274805,38.4930419921875,749900,0.0,0.0
2019-03-17 00:00:00-04:00,39.15930706946292,39.15930706946292,34.29841023755704,35.15235137939453,22037800,0.0,0.0
2019-03-24 00:00:00-04:00,35.25557500514582,35.480791860223746,33.20986925868148,33.66968536376953,15157100,0.0,0.0
2019-03-31 00:00:00-04:00,33.94182418279548,34.80515144730803,33.040963751765894,34.701927185058594,13000600,0.0,0.0
2019-04-07 00:00:00-04:00,34.66438111596296,34.79575969239275,33.3412415950859,34.67376708984375,8719900,0.0,0.0
2019-04-14 00:00:00-04:00,34.63623172140632,36.00629042668647,34.223338346852124,35.58401107788086,7197500,0.0,0.0
2019-04-21 00:00:00-04:00,35.508939424899935,35.60277768456774,34.75822260845705,35.57462692260742,12279400,0.0,0.0
2019-04-28 00:00:00-04:00,35.4151031390631,36.51302587310884,34.251489323948476,34.73945617675781,8859200,0.0,0.0
2019-05-05 00:00:00-04:00,34.45794263055342,36.25028094696353,34.03566321994352,35.70600891113281,10146600,0.0,0.0
2019-05-12 00:00:00-04:00,35.171120786863376,35.79984866791834,33.8573670728108,34.56116485595703,7899800,0.23,0.0
2019-05-19 00:00:00-04:00,34.50754429485213,35.43775642787152,34.16756792110767,34.422550201416016,5787200,0.0,0.0
2019-05-26 00:00:00-04:00,34.55476936535058,34.89474580728027,32.34492609532149,32.77933883666992,6638400,0.0,0.0
2019-06-02 00:00:00-04:00,32.68490039755994,32.87377658654668,31.4666527612348,31.806629180908203,7976800,0.0,0.0
2019-06-09 00:00:00-04:00,31.97661313823545,33.204302799610645,31.69330069368936,33.01542663574219,8315000,0.0,0.0
2019-06-16 00:00:00-04:00,33.223197185155485,34.941963763141324,33.09098492569717,33.88426208496094,13198400,0.0,0.0
2019-06-23 00:00:00-04:00,33.73315700298159,34.601982356142564,32.95876793515955,34.49810028076172,13548600,0.0,0.0
2019-06-30 00:00:00-04:00,34.77197621009265,34.81919436044578,33.728439596478665,34.52643966674805,6149500,0.0,0.0
2019-07-07 00:00:00-04:00,34.33755752283598,34.95140057626698,33.79926277639823,34.90418243408203,6539000,0.0,0.0
2019-07-14 00:00:00-04:00,35.05528120615241,35.140275299588524,33.99757973423544,34.422550201416016,9785800,0.0,0.0
2019-07-21 00:00:00-04:00,34.44144352142094,35.91466989952594,33.988142820272195,35.40470886230469,7121900,0.0,0.0
2019-07-28 00:00:00-04:00,35.35748920000206,35.94300579242542,34.27145733182445,34.52643966674805,7413900,0.0,0.0
2019-08-04 00:00:00-04:00,34.26200928654586,35.26305057974935,32.93988315105601,33.402626037597656,10063100,0.0,0.0
2019-08-11 00:00:00-04:00,33.31763598591583,33.55373035339542,30.890586176426734,31.173898696899414,7822300,0.0,0.0
2019-08-18 00:00:00-04:00,31.457211528398478,32.01439432145073,29.587342964656177,29.691225051879883,7641200,0.0,0.0
2019-08-25 00:00:00-04:00,29.90843446966479,31.457214741317447,29.540127833718785,30.9755802154541,7296700,0.0,0.0
