"Date","Price","Open","High","Low","Vol.","Change %"
"2018-06-24 00:00:00-04:00","49.27","48.25","49.65","47.22","37.68M","1.90%"
"2018-06-17 00:00:00-04:00","48.35","44.43","48.86","43.82","61.56M","8.51%"
"2018-06-10 00:00:00-04:00","44.56","39.47","44.83","39.38","30.66M","12.67%"
"2018-06-03 00:00:00-04:00","39.55","38.30","39.78","38.30","13.21M","3.34%"
"2018-05-27 00:00:00-04:00","38.27","38.15","38.84","37.91","9.40M","-0.65%"
"2018-05-20 00:00:00-04:00","38.52","37.36","38.92","37.30","11.22M","3.35%"
"2018-05-13 00:00:00-04:00","37.27","37.39","37.89","36.93","11.74M","-0.56%"
"2018-05-06 00:00:00-04:00","37.48","37.35","38.71","37.10","13.05M","0.86%"
"2018-04-29 00:00:00-04:00","37.16","36.14","37.19","35.27","23.37M","3.25%"
"2018-04-22 00:00:00-04:00","35.99","36.18","36.67","35.32","11.81M","-0.53%"
"2018-04-15 00:00:00-04:00","36.18","36.71","37.40","36.06","11.69M","-0.63%"
"2018-04-08 00:00:00-04:00","36.41","35.44","36.59","35.22","19.82M","3.03%"
"2018-04-01 00:00:00-04:00","35.34","36.13","36.29","34.94","22.71M","-2.83%"
"2018-03-25 00:00:00-04:00","36.37","36.08","36.84","35.45","19.93M","2.60%"
"2018-03-18 00:00:00-04:00","35.45","36.43","36.63","35.42","10.97M","-3.19%"
"2018-03-11 00:00:00-04:00","36.62","37.25","37.80","36.61","11.75M","-1.59%"
"2018-03-04 00:00:00-04:00","37.21","35.58","37.22","35.55","9.33M","3.56%"
"2018-02-25 00:00:00-04:00","35.93","37.67","38.41","35.10","13.88M","-4.49%"
"2018-02-18 00:00:00-04:00","37.62","36.84","37.62","36.54","8.53M","1.57%"
"2018-02-11 00:00:00-04:00","37.04","35.74","37.26","35.56","11.11M","5.26%"
"2018-02-04 00:00:00-04:00","35.19","36.06","37.05","33.75","26.69M","-2.84%"
"2018-01-28 00:00:00-04:00","36.22","38.10","38.56","36.09","13.90M","-5.48%"
"2018-01-21 00:00:00-04:00","38.32","36.45","38.43","35.99","15.10M","5.68%"
"2018-01-14 00:00:00-04:00","36.26","36.50","36.54","35.57","15.26M","-0.30%"
"2018-01-07 00:00:00-04:00","36.37","36.13","36.48","35.07","20.36M","0.06%"
"2017-12-31 00:00:00-04:00","36.35","34.38","36.44","34.27","13.69M","6.54%"
"2017-12-24 00:00:00-04:00","34.12","34.84","34.93","33.93","6.13M","-1.73%"
"2017-12-17 00:00:00-04:00","34.72","34.35","34.83","33.66","23.08M","1.46%"
"2017-12-10 00:00:00-04:00","34.22","33.04","35.34","32.06","45.79M","3.79%"
"2017-12-03 00:00:00-04:00","32.97","31.79","34.34","31.79","31.63M","4.77%"
"2017-11-26 00:00:00-04:00","31.47","29.72","31.60","29.63","17.72M","5.67%"
"2017-11-19 00:00:00-04:00","29.78","30.45","30.92","29.64","9.36M","-2.30%"
"2017-11-12 00:00:00-04:00","30.48","27.84","30.73","26.86","16.08M","8.59%"
"2017-11-05 00:00:00-04:00","28.07","24.33","29.17","24.30","34.31M","14.90%"
"2017-10-29 00:00:00-04:00","24.43","25.65","26.03","24.39","11.54M","-5.13%"
"2017-10-22 00:00:00-04:00","25.75","26.93","26.93","24.91","10.08M","-4.06%"
"2017-10-15 00:00:00-04:00","26.84","25.92","26.94","25.80","8.67M","3.91%"
"2017-10-08 00:00:00-04:00","25.83","26.41","26.54","25.20","15.36M","-2.42%"
"2017-10-01 00:00:00-04:00","26.47","25.85","26.65","25.79","14.88M","2.64%"
"2017-09-24 00:00:00-04:00","25.79","26.33","26.83","25.70","15.10M","-2.42%"
"2017-09-17 00:00:00-04:00","26.43","26.66","26.66","25.86","10.41M","-0.83%"
"2017-09-10 00:00:00-04:00","26.65","25.56","26.66","25.19","22.79M","5.00%"
"2017-09-03 00:00:00-04:00","25.38","26.97","27.02","24.78","12.92M","-5.93%"
"2017-08-27 00:00:00-04:00","26.98","26.86","27.31","26.56","9.52M","0.97%"
"2017-08-20 00:00:00-04:00","26.72","26.84","27.06","26.56","10.63M","-0.26%"
"2017-08-13 00:00:00-04:00","26.79","28.00","28.17","26.72","10.43M","-3.77%"
"2017-08-06 00:00:00-04:00","27.84","28.04","29.16","26.96","10.60M","-0.78%"
"2017-07-30 00:00:00-04:00","28.06","29.02","29.21","27.77","11.48M","-2.94%"
"2017-07-23 00:00:00-04:00","28.91","27.75","29.27","27.33","11.55M","4.56%"
"2017-07-16 00:00:00-04:00","27.65","27.58","27.86","26.72","9.47M","0.40%"
"2017-07-09 00:00:00-04:00","27.54","27.47","28.59","27.23","9.61M","-0.07%"
"2017-07-02 00:00:00-04:00","27.56","28.10","28.43","27.31","6.91M","-1.11%"
"2017-06-25 00:00:00-04:00","27.87","27.00","28.41","26.98","13.64M","3.49%"
"2017-06-18 00:00:00-04:00","26.93","27.15","27.57","26.42","15.64M","-0.70%"
"2017-06-11 00:00:00-04:00","27.12","27.57","28.56","26.83","14.81M","-2.09%"
"2017-06-04 00:00:00-04:00","27.70","27.60","27.71","26.71","10.64M","0.36%"
"2017-05-28 00:00:00-04:00","27.60","26.90","27.85","26.77","8.71M","2.41%"
"2017-05-21 00:00:00-04:00","26.95","27.05","27.71","26.47","11.12M","-0.26%"
"2017-05-14 00:00:00-04:00","27.02","27.97","28.12","26.61","16.35M","-3.15%"
"2017-05-07 00:00:00-04:00","27.90","28.62","28.66","27.41","24.48M","-2.38%"
"2017-04-30 00:00:00-04:00","28.58","29.95","29.95","27.31","16.61M","-4.29%"
"2017-04-23 00:00:00-04:00","29.86","30.50","30.58","29.64","14.73M","-1.19%"
"2017-04-16 00:00:00-04:00","30.22","29.96","30.66","29.79","11.84M","1.21%"
"2017-04-09 00:00:00-04:00","29.86","30.62","30.82","29.86","7.98M","-2.23%"
"2017-04-02 00:00:00-04:00","30.54","31.77","31.94","30.09","10.77M","-3.90%"
"2017-03-26 00:00:00-04:00","31.78","30.83","31.92","30.68","11.27M","2.91%"
"2017-03-19 00:00:00-04:00","30.88","30.27","31.18","30.02","11.47M","2.02%"
"2017-03-12 00:00:00-04:00","30.27","29.95","30.48","29.78","10.55M","1.03%"
"2017-03-05 00:00:00-04:00","29.96","29.89","30.48","29.77","14.21M","0.03%"
"2017-02-26 00:00:00-04:00","29.95","30.09","30.28","29.33","15.99M","-0.93%"
"2017-02-19 00:00:00-04:00","30.23","29.95","30.32","29.78","9.62M","1.04%"
"2017-02-12 00:00:00-04:00","29.92","29.85","30.33","29.26","12.75M","0.91%"
"2017-02-05 00:00:00-04:00","29.65","30.94","31.12","29.53","17.08M","-4.63%"
"2017-01-29 00:00:00-04:00","31.09","30.83","31.30","30.53","10.81M","0.78%"
"2017-01-22 00:00:00-04:00","30.85","29.49","30.97","29.25","10.66M","4.40%"
"2017-01-15 00:00:00-04:00","29.55","29.14","29.61","29.08","8.35M","1.03%"
"2017-01-08 00:00:00-04:00","29.25","28.80","29.45","28.55","13.18M","1.39%"
"2017-01-01 00:00:00-04:00","28.85","27.74","28.89","27.54","12.08M","5.87%"
